Date,Close_Oil,High_Oil,Low_Oil,Open_Oil,Volume_Oil,Oil_Return,Close_USD,High_USD,Low_USD,Open_USD,Volume_USD,USDNGN_Return
2014-01-03,106.88999938964844,108.62000274658205,106.77999877929688,107.91999816894533,5641,-0.008291838603708645,158.64999389648438,158.64999389648438,156.44000244140625,156.6699981689453,0,0.0035360116142434655
2014-01-06,106.7300033569336,107.9499969482422,106.58000183105467,107.04000091552734,7015,-0.0014979501973134022,157.08999633789062,159.25,156.97999572753906,157.05999755859375,0,-0.009881613357952833
2014-01-07,107.3499984741211,107.70999908447266,106.91000366210938,107.18000030517578,4075,0.005792197732283455,159.10000610351562,159.10000610351562,156.9600067138672,156.9600067138672,0,0.012714107506829216
2014-01-08,107.1500015258789,107.91999816894533,107.01000213623048,107.4499969482422,5124,-0.0018647739505609784,159.6999969482422,159.6999969482422,157.35000610351562,157.97000122070312,0,0.0037640624051466557
2014-01-09,106.38999938964844,108.16000366210938,106.12000274658205,107.51000213623048,3715,-0.007118154368824456,159.5,159.5,156.8000030517578,157.49000549316406,0,-0.0012531138867510373
2014-01-10,107.25,107.45999908447266,106.0500030517578,106.6999969482422,4589,0.008050976016777843,158.6999969482422,158.6999969482422,157.24000549316406,157.24000549316406,0,-0.005028313922263914
2014-01-13,106.75,107.7699966430664,106.5199966430664,107.63999938964844,3669,-0.00467290569939237,156.3800048828125,159.60000610351562,156.38999938964844,156.4199981689453,0,-0.01472663438224628
2014-01-14,106.38999938964844,107.12999725341795,106.06999969482422,106.62999725341795,3983,-0.0033780703173853267,159.5,159.5,157.38999938964844,157.42999267578125,0,0.019754948304510276
2014-01-15,107.12999725341795,107.5199966430664,105.83000183105467,106.26000213623048,3169,0.006931442845275525,159.5,159.5,157.52999877929688,157.91000366210938,0,0.0
2014-01-16,107.08999633789062,107.25,106.73999786376952,106.91999816894533,115,-0.0003734564203988412,159.1999969482422,159.1999969482422,157.47999572753906,157.8000030517578,0,-0.001882667983949772
2014-01-17,107.05999755859376,107.05999755859376,107.05999755859376,107.05999755859376,7458,-0.0002801660550837214,159.1999969482422,158.0500030517578,157.6300048828125,157.6300048828125,0,0.0
2014-01-22,108.2699966430664,108.31999969482422,106.98999786376952,106.98999786376952,5573,0.01123867415645927,159.1999969482422,159.3000030517578,157.27000427246094,159.3000030517578,0,0.012197153571907992
2014-01-23,107.58000183105467,108.25,107.38999938964844,108.0500030517578,6494,-0.006393302452104244,159.5,157.64999389648438,157.38999938964844,157.38999938964844,0,0.0018826679839498476
2014-01-24,107.87999725341795,108.0199966430664,106.25,107.68000030517578,7550,0.0027846989464283866,159.89999389648438,159.89999389648438,157.0399932861328,157.0399932861328,0,0.0025046594441792192
2014-01-27,106.69000244140624,107.8000030517578,106.45999908447266,107.70999908447266,5447,-0.01109201672537777,158.9600067138672,161.02999877929688,158.89999389648438,158.89999389648438,0,-0.005895941189312593
2014-01-28,107.41000366210938,107.77999877929688,106.8499984741211,106.91999816894533,5708,0.006725865618085851,162.10000610351562,162.10000610351562,160.91000366210938,160.97999572753906,0,0.01956082591464396
2014-01-29,107.8499984741211,108.01000213623048,106.9499969482422,107.38999938964844,5192,0.004088036982373514,162.0,160.6699981689453,159.97000122070312,160.6699981689453,0,-0.0006171311620255936
2014-01-30,107.9499969482422,108.4000015258789,107.66000366210938,107.97000122070312,5144,0.0009267700037045327,162.6999969482422,161.02000427246094,160.02999877929688,160.02999877929688,0,0.004311660235645202
2014-01-31,106.4000015258789,107.93000030517578,106.3000030517578,107.87999725341795,6123,-0.014462537442200236,162.1999969482422,162.1999969482422,160.10000610351562,161.58999633789062,0,-0.0030778726015000205
2014-02-03,106.04000091552734,106.70999908447266,105.3499984741211,106.06999969482422,6629,-0.0033892011938939067,160.83999633789062,162.3000030517578,160.61000061035156,160.86000061035156,0,-0.008420063606104497
2014-02-04,105.77999877929688,106.22000122070312,105.54000091552734,106.04000091552734,3583,-0.00245493595680156,162.10000610351562,162.10000610351562,160.41000366210938,160.41000366210938,0,0.007803407133984845
2014-02-05,106.25,106.43000030517578,105.58999633789062,105.9800033569336,4243,0.004433353706710671,162.60000610351562,160.97000122070312,160.6300048828125,160.97000122070312,0,0.0030797682562962443
2014-02-06,107.19000244140624,107.4499969482422,106.2300033569336,106.3000030517578,4889,0.008808175675338299,163.1999969482422,163.25,160.75999450683594,160.77000427246094,0,0.003683189179804043
2014-02-07,109.56999969482422,109.72000122070312,106.83999633789062,107.31999969482422,6885,0.02196062815222465,163.10000610351562,163.10000610351562,159.8800048828125,159.8800048828125,0,-0.0006128767816196549
2014-02-10,108.62999725341795,109.68000030517578,108.5199966430664,109.6500015258789,5009,-0.008616024470256048,160.3800048828125,163.0500030517578,160.47000122070312,160.55999755859375,0,-0.01681751722473758
2014-02-11,108.68000030517578,109.2300033569336,108.4800033569336,108.68000030517578,4010,0.0004602002043355572,162.0,162.61000061035156,161.27000427246094,161.27000427246094,0,0.010050305408231376
2014-02-12,108.79000091552734,109.48999786376952,108.5500030517578,108.83000183105467,3784,0.0010116394823695921,162.61000061035156,164.0,162.39999389648438,162.75,0,0.0037583643587158163
2014-02-13,108.7300033569336,108.7300033569336,108.19000244140624,108.2300033569336,467,-0.0005516509648476059,164.5,164.5,162.27000427246094,162.27000427246094,0,0.011555870614326643
2014-02-14,108.7300033569336,108.7300033569336,108.7300033569336,108.7300033569336,5560,0.0,163.16000366210938,164.3000030517578,160.69000244140625,163.1300048828125,0,-0.008179233311172263
2014-02-19,110.47000122070312,110.83000183105467,110.02999877929688,110.30999755859376,4749,0.015876226050580262,162.75,162.75,160.39999389648438,160.39999389648438,0,0.008143714290106768
2014-02-20,110.3000030517578,110.4499969482422,109.58999633789062,110.06999969482422,5272,-0.0015400480070193055,163.5,165.74000549316406,161.72999572753906,161.72999572753906,0,0.004597709248629549
2014-02-21,109.8499984741211,110.37999725341795,109.37000274658205,110.23999786376952,4938,-0.00408816898720051,165.0,165.5500030517578,162.3000030517578,165.5500030517578,0,0.009132483563272474
2014-02-24,110.63999938964844,110.76000213623048,109.52999877929688,109.9000015258789,4272,0.007165896899897486,161.91000366210938,164.4499969482422,161.9199981689453,161.9199981689453,0,-0.018904825983740648
2014-02-25,109.51000213623048,110.5199966430664,109.4499969482422,110.5,5613,-0.010265793045108239,164.3000030517578,165.5,161.5,163.61000061035156,0,0.01465339570068434
2014-02-26,109.5199966430664,109.97000122070312,109.22000122070312,109.29000091552734,5701,9.126153402324215e-05,165.5,165.5,161.57000732421875,161.57000732421875,0,0.0072771511995935
