Price,Close,High,Low,Open,Volume
Ticker,NGN=X,NGN=X,NGN=X,NGN=X,NGN=X
Date,,,,,
2014-01-01,160.0,158.08999633789062,158.08999633789062,158.08999633789062,0
2014-01-02,158.08999633789062,158.75,156.61000061035156,157.91000366210938,0
2014-01-03,158.64999389648438,158.64999389648438,156.44000244140625,156.6699981689453,0
2014-01-06,157.08999633789062,159.25,156.97999572753906,157.05999755859375,0
2014-01-07,159.10000610351562,159.10000610351562,156.9600067138672,156.9600067138672,0
2014-01-08,159.6999969482422,159.6999969482422,157.35000610351562,157.97000122070312,0
2014-01-09,159.5,159.5,156.8000030517578,157.49000549316406,0
2014-01-10,158.6999969482422,158.6999969482422,157.24000549316406,157.24000549316406,0
2014-01-13,156.3800048828125,159.60000610351562,156.38999938964844,156.4199981689453,0
2014-01-14,159.5,159.5,157.38999938964844,157.42999267578125,0
2014-01-15,159.5,159.5,157.52999877929688,157.91000366210938,0
2014-01-16,159.1999969482422,159.1999969482422,157.47999572753906,157.8000030517578,0
2014-01-17,159.1999969482422,158.0500030517578,157.6300048828125,157.6300048828125,0
2014-01-20,158.7100067138672,159.02000427246094,157.27000427246094,158.85000610351562,0
2014-01-21,157.27000427246094,157.3699951171875,157.13999938964844,157.3699951171875,0
2014-01-22,159.1999969482422,159.3000030517578,157.27000427246094,159.3000030517578,0
2014-01-23,159.5,157.64999389648438,157.38999938964844,157.38999938964844,0
2014-01-24,159.89999389648438,159.89999389648438,157.0399932861328,157.0399932861328,0
2014-01-27,158.9600067138672,161.02999877929688,158.89999389648438,158.89999389648438,0
2014-01-28,162.10000610351562,162.10000610351562,160.91000366210938,160.97999572753906,0
2014-01-29,162.0,160.6699981689453,159.97000122070312,160.6699981689453,0
2014-01-30,162.6999969482422,161.02000427246094,160.02999877929688,160.02999877929688,0
2014-01-31,162.1999969482422,162.1999969482422,160.10000610351562,161.58999633789062,0
2014-02-03,160.83999633789062,162.3000030517578,160.61000061035156,160.86000061035156,0
2014-02-04,162.10000610351562,162.10000610351562,160.41000366210938,160.41000366210938,0
2014-02-05,162.60000610351562,160.97000122070312,160.6300048828125,160.97000122070312,0
2014-02-06,163.1999969482422,163.25,160.75999450683594,160.77000427246094,0
2014-02-07,163.10000610351562,163.10000610351562,159.8800048828125,159.8800048828125,0
2014-02-10,160.3800048828125,163.0500030517578,160.47000122070312,160.55999755859375,0
